step,training_acc,instruction
1,0.6360153256704981,
1,0.6475095785440613,"Carefully analyze the given information to identify the numerical values and operations needed to solve the problem, ensuring accuracy and clarity in your approach."
1,0.6781609195402298,"Identify the key information, the required calculation, and the final answer for each problem. For instance, calculate the total weight John lifts, the distance Kenneth rows past the finish line, or the number of planks needed for Bob's raised beds."
1,0.37547892720306514,Provide a clear problem statement and its corresponding ground truth answer for the following scenario:
1,0.7471264367816092,Formulate the problem statement clearly and identify the key information and question being asked before solving the problem.
2,0.4942528735632184,"Carefully formulate the problem statement, identify the key information and the question being asked, then perform the necessary calculations to find the appropriate answer. After solving, always double-check your work for any potential errors or mistakes, especially when dealing with fractions, decimals, and rounding."
2,0.10727969348659004,"For each problem, first clearly define the given information, the question being asked, and the steps needed to solve it. Then, present the solution in a structured format, including any necessary equations or logical reasoning. Ensure all steps are well-explained and justify any assumptions made. Finally, state the answer in a complete sentence."
2,0.3716475095785441,"Carefully outline the problem statement, identify key information, and determine the specific calculation required to solve the problem, ensuring precision and clarity throughout your explanation. Your solution should include a step-by-step approach to finding the final answer."
2,0.6973180076628352,"Clearly define the problem at hand, extract essential information, and formulate a step-by-step plan to solve it before beginning the calculation. Ensure your approach is logical, concise, and directly addresses the question posed."
2,0.6551724137931034,"Formulate the problem statement by clearly defining the scenario and the question being asked. Then, carefully extract and identify the relevant numerical values, operations, and relationships needed to solve the problem, ensuring accuracy and clarity in your approach."
3,0.6666666666666666,"Carefully craft the problem statement, ensuring it is precise and concise. Identify the key information and the core question being asked. Develop a step-by-step solution plan, including any necessary calculations, and verify your answer to ensure accuracy and completeness, considering potential pitfalls like rounding or misinterpretation of units."
3,0.3793103448275862,"Carefully outline the problem statement, meticulously identify the key information and relationships, determine the required calculations, and present a step-by-step solution to find the final answer, ensuring accuracy and clarity in your approach."
3,0.6206896551724138,"Carefully define the problem statement, extract all relevant information, and outline a clear step-by-step plan to solve it. Ensure precision in identifying key values, operations, and relationships needed, and verify your solution for correctness."
3,0.5402298850574713,"Provide a clear problem statement that encapsulates the essence of the question and identify the specific mathematical operations or logical steps required to solve it. Ensure that all given data is accurately utilized and that your solution process is thorough, checking for any potential errors or overlooked details. Your solution should directly address the problem statement and lead to the ground truth answer."
3,0.3448275862068966,"Carefully define the problem statement, extract essential information, and create a step-by-step plan for solving it. Clearly articulate each step of your calculation, showing all working and logical reasoning. Additionally, check your solution against the problem statement to ensure it makes sense and is the most reasonable result."
4,0.2796934865900383,"Carefully define the problem statement, meticulously extract all essential information, and create a well-organized step-by-step plan to solve it. Clearly explain each step of the solution, ensure all necessary calculations are shown, and verify the final answer against the problem statement for accuracy and reasonableness. This process should be applied to each problem, ensuring that all given data is used effectively and any potential errors are identified and corrected."
4,0.26053639846743293,"Carefully define the problem statement, ensuring clarity and precision. Identify all key information and the specific question being asked. Develop a step-by-step plan, including necessary calculations and logical reasoning, to find the solution. Always verify your work for potential errors or misinterpretations, and check if your final answer logically satisfies the problem's conditions. This systematic approach will ensure accuracy and completeness in your solution."
