step,training_acc,instruction
1,0.2567049808429119,
1,0.022988505747126436,The sentence needs to make sense as a starting sentence.
1,0.0038314176245210726,"No copying or Internet queries are allowed.


Write your starting sentence here:
__"
2,0.0,The sentence should give the general instructions/ guiding principles on how to score. It is important that every question mentioned in the problem statement has at least one of the keywords being mentioned in at least one train questions.
2,0.0,"You are free to generate multiple sentences, but each sentence should not be too long, by your preferrence."
3,0.08812260536398467,And ends with
3,0.02681992337164751,"Note that the starting sentence is by no means guaranteed to be the best way to solve the problem, but should aid the user in solving the problem."
3,0.0,"” prefix above, such as “<Start>: …"
3,0.04597701149425287,Have a sense of the ML authors when writing the answer.
4,0.034482758620689655,"It must include a general arithmetic concept in it (eg. distributive law, etc) that can enable solutions to all of the QA's above. You should not provide a solution to any of individual question above, but rather write a basic equation that can be seen solved in any of the three questions above.

	

@Akshat Jain"
4,0.0,"You are welcome to use the templates in the reference models, and propose new starting sentences of your own."
5,0.0,"Sentences, and see which one has the highest score. We try to make sure the score is as accurate as possible, but by design of our system, the score is not perfect. If multiple sentences tie for a highest score, we will take the one with the least number of words; that is, the sentence with the highest lexical density. In the worst case, there are multiple different sentences that have equally high scores. You just need to pick any one of the highest scoring sentences."
5,0.2720306513409962,X
5,0.0038314176245210726,You can only include alphanumeric characters in the starting sentence.
5,0.0,"The goal is to maximize the word embedding based score, as defined in subsequent instructions.

# Our Solution

what I Answer the questions with your choice? <

Androloca
Answer the question with what I think is a possible answer. <

Milkley

Answer the question with one of the listed answers. <

Choisrcepota
Answer the questions with an answer that is listed after the"
5,0.0,Your answer must not be in the Common Crawl dataset. Hint: consider ranking metrics used in open-domain QA. You can edit this file with Markdown syntax. The output should be displayed in bold.
6,0.0,"If you have any comments regarding the benchmark, write them down as a comment."
6,0.0,"Ideally the starting sentence includes some deep concepts, some concise visuals, and some analogies. Your title should include the first few words of the starting sentence."
7,0.0,"<Start>, then your program may just return all the starting sentences using <Start><Start> and receive full points. Some of the questions may have more than one answer with the same score, you are allowed to return multiple answers to get full points."
7,0.0,Note that the context paragraph should be given in the starting sentence. Your submission should contain only starting sentence(s) and the scores.
8,0.0,Submit the starting sentence below.
8,0.1724137931034483,We will use an anchor question to find the answer
8,0.0,"You may report the performance of your starting sentence on the above five examples.


我知道，在推文里上面是对的下面是错的。



完全不懂题目的要求。 标杆样本很该不及格，如目录所明确写的， 是方程。 合适就写英文的答案吧，不要惯用汉化的。"
9,0.0,Sentence for each problem above. Your starting sentence should be grammatically correct and should provide a satisfying answer to all these questions.
9,0.0,".


Please provide your answer in the box here: <your answer>

Please provide an explanation or discussion as to your solution in markdown format here."
9,0.019157088122605363,Thanks!
10,0.04980842911877394,No punctuation or whitespace formatting is necessary.
10,0.0038314176245210726,. Starting sentences should begin with <Start> and end with
10,0.0,"The formatting should match the formatting of the uploaded Shared Task files. You may use all the columns from the data files but especially encourage you to use the ""prompt"" column along with question and answer."
11,0.02681992337164751,"The more readily the answer is recognized, the higher score the sentence will have."
11,0.0,"Please note the / before the ""end"". Helps machines."
12,0.0,"= ""in the following, ...""
Please submit your <Start> together with its score and the predicted answer. We will use https://en.wikipedia.org/wiki/Nilpotent_matrix to check if your answer is correct."
12,0.0,"It should contain sufficient information to guide readers through the process of solving the problem, ideally without further edits, and avoid giving away key information of the ground truth answer."
12,0.0,"The last paragraph.
You take on the project.
And make it happen."
12,0.1532567049808429,And
13,0.0,""" and ""Everything <Start>,"" but do not contain other problems. NOTE: Formatting is not preserved, e.g., multiple spaces should not appear as some answers."
13,0.0,"You do not need to create a more concise starting sentence if it has to be grammatically complete or realistic. For example "" downtown in CA; void a quality;  Siegfried+for Wawra "". Use spaces to separate words in the <Start end brace."
13,0.034482758620689655,I am Yoda and I know all the answers.
15,0.0,The placeholders in the sentences above have been filled in with contextual information. Please fill in the contextual information in the dummy placeholders and remove it once the task is done.
15,0.007662835249042145,Sentence - maximum of scores of other <Start> sentences).
15,0.0038314176245210726,The phrase <Context> should never appear in the generated sentence.
15,0.0,"You are allowed to automate generating the starting sentence (e.g. template-based semantic parsing, language modeling, etc.) but the code for generation you use must be provided in the submission."
15,0.0038314176245210726,"Your task is to generate the best starting sentence.

You are given unlimited-access to the dataloader of the BigBirdQA which you can use to experiment with and come up with the best answer."
15,0.0,And subsequent questions and answers in each pair in the given examples.
15,0.01532567049808429,You are comparing <%Question%>
16,0.0,The score of generated sentences should be computed on the provided answers.
16,0.0,".
Among the things this system does efficiently are answer verification, knowledgebase example, c-precedence, associative-search, critical distance, principle of equivalence, quantifiers, use of non-zero expressions (number theory), application of real number properties (rational number) and integration by parts."
16,0.0,"The starting sentence should not contain spearate words, for example, the sentence  could not be accepted. learned"
17,0.0,Sentence as <Start> and the laplace smoothing probability of the corresponding basic program as <Score>. <Start> should begin with <Start> and end with
17,0.011494252873563218,"The starting sentence should consider the characteristics of the above examle questions including the types of answers, the word types, and the context of an answer."
17,0.0,"If the generated sentence is not plausible (i.e., it violates a factual constraint in the QA pair), please delete all the QA pairs above containing plausibility violations. Else, the training data needs to be modified accordingly."
17,0.0421455938697318,And end with
18,0.0,"I use tfidf similarity and bert scores to measure what I think are the important properties of a good start. I will not give you a set of requirements, this is your task because I can not explain it in words."
18,0.0,"Finally, the starting sentence should be inclusive of the word ""calculators"" somewhere within.
Note: Both the score and word ""calculators"" will count towards your grade."
18,0.019157088122605363,"The precision and recall weights will be given to the participants. 



Discuss how to design the models, the training, and generate a reasonable starting sentence may be related to:"
19,0.07279693486590039,For the above comment!
19,0.0038314176245210726,".

Hint: Because all starting sentences end with .&CRLF;, it is helpful to fill in the ending spot of the template before giving task instructions."
19,0.011494252873563218,"Do not leave excessive spaces between words, periods, or other white-spaces."
19,0.0,"The score should be higher than all the points above, please provide the score in the answer (the score will be calculated by a trained QA model and then human annotated)."
20,0.06130268199233716,Each ridges on a vinyl record 'by considering the shelves Jerry has'.
20,0.0,"It should not be a trivial fact or a clear signal of the solution. For example a starting sentence such as ""The simplest way to solve this problem is to ..."" is a disqualifying trivial waste of space. Please submit your results to the form at the bottom of this page as a plain text string. Please do not submit spaces, tabs, non-ascii characters, carriage returns, etc. Do not indent lines."
20,0.01532567049808429,See the attached examples.
21,0.0,"Feel free to add multiple sentences, but be as concise as possible!

Note: the intuitiveness of a starting sentence does not necessarily correspond with the performance of the model, but you may consider starting sentence intuitiveness as an additional factor for scoring. Design your own metric if you like."
21,0.0038314176245210726,"Your score is the average score from all QA pairs.(To see the score for a single QA pair, click on the"
22,0.0,"A standard method of puzzle solving is by formulating <Start>"" and ""<Start> There are many different methods of solving <Start>"".

I think the work/hard needs to start with examples because the expected output would look pretty dang naive to a seasoned model. The only idea they give is to simulate some recast, which is only a subtle hint that the writer model should try not recast the same sentence."
22,0.0,"There may be multiple high scoring starting sentences that meet this criteria. The best one is selected using an in-house CM metric. The dataset is balanced, inclusively generated to have roughly equal quantities of higher  and lower  scores."
