step,training_acc,instruction
1,0.2681992337164751,The instruction should include the unknown quantity and the ground truth answer.
1,0.40229885057471265,"In this task, determine the total amount of change or total cumulative change associated with the given conditions."
1,0.7049808429118773,""" ]"
1,0.6206896551724138,"Calculate the solution to be found in the text, taking into account all relevant details."
1,0.632183908045977,"The problem is to solve a specific numerical question. You need to find the numerical value and enter it as the answer.Enter the final numerical answer only, with units, in a box. In the format _____________."
2,0.42528735632183906,"Identify the solution clearly and concisely in the format requested, providing the final numerical answer, including any required units, in a box, as per the assessment instructions. Ensure all calculations and steps are logical, mathematically valid, and clearly explained."
2,0.5555555555555556,"Please provide a final answer that matches with requirement as specified, which is usually a numerical value entered in a box. The answer should include appropriate units, if any. Computations must match the details given, i.e., replace the final-format placeholder with the numerical solution derived from calculations, otherwise, one should indicate an intention to conclude the computation, and rederive the solution first."
2,0.6513409961685823,"Write a solution to the problem that meets all the specified conditions. Ensure your solution is accurate, complete, and follows the format specified in the problem. Make all necessary calculations, justify your reasoning, and provide explanations when required. Always review and validate your response for any errors."
2,0.5134099616858238,"Enter the numerical value of the answer, with units, as the final solution in a box. The solution should be self-explanatory, easy to understand, and precise. Limit the answer to a single numerical value, so the answer is easily distinguishable in a multi-step solution. Therefore, the answer should be given as a value (without any additional text outside of the instruction) that precisely solves the issue described in the box. _______"
2,0.7279693486590039,"Determine the numerical solution that is the final answer to a specific problem. Express the final answer only, including units, inside a box in the format ______________."
2,0.47126436781609193,"Given a numerical scenario, provide a precise numerical answer, taking into account all given details, and ensuring the answer is a whole number or a decimal number with a clear explanation of units, if applicable."
3,0.8160919540229885,"Provide the final numerical answer, including any units, in a box, ensuring all calculations are logical, mathematically valid, and clearly explained in a solution that matches the problem statement.______"
3,0.5478927203065134,"Provide a clear, concise, and logical step-by-step solution to the problem, ensuring each step is mathematically valid and directly contributes to the final answer, including a final numerical answer with units, if applicable, presented in a box in the format _______________"
3,0.5517241379310345,"Analyze the given conditions to derive the exact numerical solution to the specific problem, presenting the final answer clearly and complete in the specified format, ensuring all required calculations and logical steps are accurately recorded"
4,0.3333333333333333,"Calculate a final numerical answer that is precise, valid, and presented in a box; the answer should follow the standard format requirements where units, if applicable, are clearly indicated and explanations, if any, are logically related to the numerical answer, ensuring all calculations and steps are mathematically valid and directly contributing to the final answer"
4,0.5632183908045977,"Unambiguously articulate a comprehensive solution, incorporating clear, step-by-step reasoning and quantitative accuracy, providing a precise, concise, and final numerical answer to the problem, and ensuring all necessary calculations, mathematical verifications, and logical proofs are accurately presented and justified, thereby guaranteeing the solution's validity, coherence, and answer's reliability."
4,0.42528735632183906,"Derive a concise and logical numerical solution to the problem, taking into account all given details, ensuring that the answer is presented clearly in a box with units, or as a simple numerical value without units, depending on the context of the problem."
